presion,alture,altitud_sobre_nivel_mar,hora,visible_image,thermal_image
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_09_814451'.jpg,images/b'flir_visible_image_2023_05_26_14_47_09_814451'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_09_954085'.jpg,images/b'flir_visible_image_2023_05_26_14_47_09_954085'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_10_099974'.jpg,images/b'flir_visible_image_2023_05_26_14_47_10_099974'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_10_252930'.jpg,images/b'flir_visible_image_2023_05_26_14_47_10_252930'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_10_392199'.jpg,images/b'flir_visible_image_2023_05_26_14_47_10_392199'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_10_548938'.jpg,images/b'flir_visible_image_2023_05_26_14_47_10_548938'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_10_706865'.jpg,images/b'flir_visible_image_2023_05_26_14_47_10_706865'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_10_882694'.jpg,images/b'flir_visible_image_2023_05_26_14_47_10_882694'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_11_022745'.jpg,images/b'flir_visible_image_2023_05_26_14_47_11_022745'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_11_161397'.jpg,images/b'flir_visible_image_2023_05_26_14_47_11_161397'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_11_338997'.jpg,images/b'flir_visible_image_2023_05_26_14_47_11_338997'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
