presion,presion_over_floor,temperature,altitude_over_sea_level_lib_bmp280,altitud_over_sea_level_lib_adafruit,altitud_over_sea_level_calculada,calculate_abs_alture,calculate_abs_alture_diff_lib_bmp280,calculate_abs_alture_diff_lib_adafruit,time
993.01232,991.25418,24.81174,176.26275,169.87162,170.55442,-14.98062,-20.25458,-14.88951,"07/25/2023, 13:58:57"
993.00689,991.25418,24.81053,176.30989,169.91756,170.60064,-14.9344,-20.20744,-14.84357,"07/25/2023, 13:58:57"
993.01352,991.25418,24.81144,176.25202,169.86149,170.54424,-14.99081,-20.26531,-14.89964,"07/25/2023, 13:58:58"
993.01895,991.25418,24.81265,176.20488,169.81555,170.49802,-15.03703,-20.31245,-14.94559,"07/25/2023, 13:58:58"
993.01605,991.25418,24.81295,176.23062,169.84008,170.52269,-15.01235,-20.28671,-14.92105,"07/25/2023, 13:58:59"
993.01655,991.25418,24.81326,176.22633,169.8358,170.51839,-15.01666,-20.291,-14.92534,"07/25/2023, 13:58:59"
993.01895,991.25418,24.81265,176.20488,169.81555,170.49802,-15.03703,-20.31245,-14.94559,"07/25/2023, 13:59:00"
993.02115,991.25418,24.81295,176.18559,169.79686,170.47921,-15.05583,-20.33174,-14.96428,"07/25/2023, 13:59:00"
993.02847,991.25418,24.81326,176.12128,169.73494,170.41693,-15.11811,-20.39605,-15.02619,"07/25/2023, 13:59:01"
993.02847,991.25418,24.81326,176.12128,169.73494,170.41693,-15.11811,-20.39605,-15.02619,"07/25/2023, 13:59:01"
993.02184,991.25418,24.81235,176.17915,169.79101,170.47334,-15.06171,-20.33818,-14.97012,"07/25/2023, 13:59:02"
993.02065,991.25418,24.81265,176.18988,169.80114,170.48352,-15.05152,-20.32745,-14.95999,"07/25/2023, 13:59:02"
993.01996,991.25418,24.81326,176.19632,169.80698,170.4894,-15.04564,-20.32101,-14.95415,"07/25/2023, 13:59:03"
993.02217,991.25418,24.81356,176.17703,169.78829,170.4706,-15.06445,-20.3403,-14.97284,"07/25/2023, 13:59:03"
993.02405,991.25418,24.81265,176.15986,169.77232,170.45454,-15.08051,-20.35747,-14.98881,"07/25/2023, 13:59:04"
993.02065,991.25418,24.81265,176.18988,169.80114,170.48352,-15.05152,-20.32745,-14.95999,"07/25/2023, 13:59:04"
993.01692,991.25418,24.81144,176.22201,169.83268,170.51525,-15.01979,-20.29532,-14.92845,"07/25/2023, 13:59:05"
993.01895,991.25418,24.81265,176.20488,169.81555,170.49802,-15.03703,-20.31245,-14.94559,"07/25/2023, 13:59:05"
993.01895,991.25418,24.81265,176.20488,169.81555,170.49802,-15.03703,-20.31245,-14.94559,"07/25/2023, 13:59:06"
993.01232,991.25418,24.81174,176.26275,169.87162,170.55442,-14.98062,-20.25458,-14.88951,"07/25/2023, 13:59:06"
